Company Name,Raw Card Text
IBM,"IBM | Follow | 3.9 | (27k) | IT Services & Consulting | Bengaluru +175 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Work Life Balance, Company Culture, Job Security | Critically Rated For | Promotions, Salary | To view salary insights | Select designation | 27k | Reviews | 2.2L | Salaries | 2.7k | Interviews | 445 | Jobs | 2.7k | Benefits | 23 | Photos"
HDB Financial Services,"HDB Financial Services | Follow | 3.9 | (27k) | NBFC | Mumbai +1125 other locations | AmbitionBox Award Winner'26 | Critically Rated For | Promotions, Salary | To view salary insights | Select designation | 27k | Reviews | 48.8k | Salaries | 1.2k | Interviews | 9 | Jobs | 1.4k | Benefits | 84 | Photos"
Larsen & Toubro Limited,"Larsen & Toubro Limited | Follow | 3.9 | (25.3k) | Engineering & Construction | Mumbai +812 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Skill Development, Salary | Critically Rated For | Promotions | To view salary insights | Select designation | 25.3k | Reviews | 77.2k | Salaries | 2k | Interviews | 275 | Jobs | 2.7k | Benefits | 74 | Photos"
Deloitte,"Deloitte | Follow | 3.6 | (25k) | Management Consulting | Hyderabad +212 other locations | Critically Rated For | Promotions, Work Life Balance, Work Satisfaction | To view salary insights | Select designation | 25k | Reviews | 2.9L | Salaries | 3.5k | Interviews | 461 | Jobs | 2.5k | Benefits | 19 | Photos"
Kotak Mahindra Bank,"Kotak Mahindra Bank | Follow | 3.6 | (23.7k) | Banking | Mumbai +712 other locations | Critically Rated For | Promotions, Work Satisfaction, Company Culture | To view salary insights | Select designation | 23.7k | Reviews | 88.3k | Salaries | 1.5k | Interviews | 148 | Jobs | 1.4k | Benefits | 46 | Photos"
Reliance Industries,"Reliance Industries | Follow | 4.0 | (21.3k) | Oil & Gas | Jamnagar +842 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Work Life Balance, Skill Development | Critically Rated For | Promotions | To view salary insights | Select designation | 21.3k | Reviews | 75.8k | Salaries | 1.7k | Interviews | 99 | Jobs | 1.9k | Benefits | 41 | Photos"
Vodafone Idea,"Vodafone Idea | Follow | 3.9 | (18.2k) | Telecom | Pune +724 other locations | Highly Rated For | Salary, Company Culture, Work Life Balance | Critically Rated For | Promotions | To view salary insights | Select designation | 18.2k | Reviews | 48.6k | Salaries | 724 | Interviews | 56 | Jobs | 2k | Benefits | 23 | Photos"
Bharti Airtel,Bharti Airtel | Follow | 3.8 | (17.9k) | Telecom | Gurugram +817 other locations | Critically Rated For | Promotions | To view salary insights | Select designation | 17.9k | Reviews | 50.4k | Salaries | 1.2k | Interviews | 181 | Jobs | 1.6k | Benefits | 105 | Photos
BYJU'S,"BYJU'S | Follow | 3.2 | (16.4k) | EdTech | Bengaluru +324 other locations | Critically Rated For | Job Security, Company Culture, Work Life Balance | To view salary insights | Select designation | 16.4k | Reviews | 49.2k | Salaries | 2.1k | Interviews | 5 | Jobs | 1.7k | Benefits | 28 | Photos"
WNS,"WNS | Follow | 3.3 | (16.1k) | IT Services & Consulting | Pune +71 other locations | Critically Rated For | Promotions, Salary, Skill Development | To view salary insights | Select designation | 16.1k | Reviews | 70.8k | Salaries | 1.3k | Interviews | 61 | Jobs | 1.4k | Benefits | 24 | Photos"
IDFC FIRST Bank,"IDFC FIRST Bank | Follow | 4.0 | (16k) | Banking | Mumbai +758 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Salary, Company Culture, Work Life Balance | To view salary insights | Select designation | 16k | Reviews | 51.6k | Salaries | 1.1k | Interviews | 124 | Jobs | 838 | Benefits | 30 | Photos"
Ernst & Young,"Ernst & Young | Follow | 3.4 | (15.6k) | Management Consulting | Bengaluru +147 other locations | Critically Rated For | Promotions, Work Life Balance, Work Satisfaction | To view salary insights | Select designation | 15.6k | Reviews | 1.5L | Salaries | 1.4k | Interviews | 3.7k | Jobs | 1.1k | Benefits | 10 | Photos"
IndusInd Bank,"IndusInd Bank | Follow | 3.4 | (15.1k) | Banking | Mumbai +821 other locations | Critically Rated For | Promotions, Company Culture, Work Satisfaction | To view salary insights | Select designation | 15.1k | Reviews | 52.5k | Salaries | 802 | Interviews | 133 | Jobs | 841 | Benefits | 17 | Photos"
AU Small Finance Bank,AU Small Finance Bank | Follow | 3.8 | (15k) | Banking | Jaipur +830 other locations | To view salary insights | Select designation | 15k | Reviews | 30.5k | Salaries | 742 | Interviews | 3.2k | Jobs | 637 | Benefits | 28 | Photos
Tata Motors,"Tata Motors | Follow | 4.1 | (14.8k) | Automobile | Pune +522 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Company Culture, Work Life Balance | Critically Rated For | Promotions | To view salary insights | Select designation | 14.8k | Reviews | 44.2k | Salaries | 1.4k | Interviews | 39 | Jobs | 1.7k | Benefits | 59 | Photos"
Bajaj Finserv,"Bajaj Finserv | Follow | 3.9 | (14.2k) | NBFC | Pune +1256 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Salary, Skill Development, Job Security | To view salary insights | Select designation | 14.2k | Reviews | 32.6k | Salaries | 842 | Interviews | 5 | Jobs | 763 | Benefits | 24 | Photos"
Flipkart,"Flipkart | Follow | 3.9 | (13.8k) | Internet | Bengaluru +577 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Company Culture, Skill Development, Salary | Critically Rated For | Promotions | To view salary insights | Select designation | 13.8k | Reviews | 57.6k | Salaries | 1.8k | Interviews | 82 | Jobs | 1.4k | Benefits | 116 | Photos"
PwC,"PwC | Follow | 3.3 | (13.6k) | Management Consulting | Bengaluru +152 other locations | Critically Rated For | Promotions, Work Life Balance, Work Satisfaction | To view salary insights | Select designation | 13.6k | Reviews | 1.3L | Salaries | 1.6k | Interviews | 1.5k | Jobs | 907 | Benefits | 24 | Photos"
Muthoot FinCorp,"Muthoot FinCorp | Follow | 4.5 | (13.6k) | NBFC | Bengaluru +1139 other locations | Highly Rated For | Company Culture, Work Life Balance, Job Security | To view salary insights | Select designation | 13.6k | Reviews | 9.9k | Salaries | 2.4k | Interviews | 56 | Jobs | 334 | Benefits | 106 | Photos"
Mahindra & Mahindra,"Mahindra & Mahindra | Follow | 4.0 | (12.8k) | Automobile | Pune +583 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Skill Development, Company Culture | Critically Rated For | Promotions | To view salary insights | Select designation | 12.8k | Reviews | 41.8k | Salaries | 923 | Interviews | 2 | Jobs | 1.2k | Benefits | 22 | Photos"
HDFC Life,HDFC Life | Follow | 3.8 | (12.8k) | Insurance | Mumbai +740 other locations | Highly Rated For | Skill Development | Critically Rated For | Promotions | To view salary insights | Select designation | 12.8k | Reviews | 34.2k | Salaries | 854 | Interviews | 218 | Jobs | 670 | Benefits | 60 | Photos
Infosys BPM,"Infosys BPM | Follow | 3.5 | (12.7k) | BPO | Bengaluru +99 other locations | Highly Rated For | Job Security | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 12.7k | Reviews | 79.5k | Salaries | 1.1k | Interviews | 171 | Jobs | 1.2k | Benefits | 15 | Photos"
DXC Technology,"DXC Technology | Follow | 3.6 | (12.5k) | IT Services & Consulting | Bengaluru +134 other locations | Highly Rated For | Work Life Balance | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 12.5k | Reviews | 73.8k | Salaries | 917 | Interviews | 96 | Jobs | 1.2k | Benefits | 9 | Photos"
Bandhan Bank,"Bandhan Bank | Follow | 3.6 | (12.1k) | Banking | Kolkata +1063 other locations | Critically Rated For | Promotions, Work Satisfaction, Company Culture | To view salary insights | Select designation | 12.1k | Reviews | 27.9k | Salaries | 801 | Interviews | -- | Jobs | 597 | Benefits | 53 | Photos"
Yes Bank,"Yes Bank | Follow | 3.6 | (10.8k) | Banking | Mumbai +549 other locations | Critically Rated For | Job Security, Promotions, Company Culture | To view salary insights | Select designation | 10.8k | Reviews | 43.1k | Salaries | 588 | Interviews | 156 | Jobs | 649 | Benefits | 19 | Photos"
Digitide Solutions,"Digitide Solutions | Follow | 3.4 | (10.9k) | IT Services & Consulting | Hyderabad +282 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 10.9k | Reviews | 27.4k | Salaries | 604 | Interviews | 335 | Jobs | 797 | Benefits | 49 | Photos"
Mphasis,"Mphasis | Follow | 3.3 | (10.7k) | IT Services & Consulting | Bengaluru +69 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 10.7k | Reviews | 75.4k | Salaries | 963 | Interviews | 57 | Jobs | 883 | Benefits | 148 | Photos"
Tata Steel,"Tata Steel | Follow | 4.0 | (10.5k) | Iron & Steel | Jamshedpur +236 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Work Life Balance, Job Security, Company Culture | Critically Rated For | Promotions | To view salary insights | Select designation | 10.5k | Reviews | 34.9k | Salaries | 1.1k | Interviews | -- | Jobs | 701 | Benefits | 53 | Photos"
Quess,"Quess | Follow | 3.8 | (10.3k) | Recruitment | Bengaluru +783 other locations | Critically Rated For | Promotions, Job Security | To view salary insights | Select designation | 10.3k | Reviews | 32.1k | Salaries | 562 | Interviews | 8 | Jobs | 473 | Benefits | 26 | Photos"
UltraTech Cement,"UltraTech Cement | Follow | 4.1 | (10.2k) | Building Material | Mumbai +561 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Skill Development, Company Culture | Critically Rated For | Promotions | To view salary insights | Select designation | 10.2k | Reviews | 25.3k | Salaries | 865 | Interviews | 100 | Jobs | 686 | Benefits | 51 | Photos"
Asian Paints,"Asian Paints | Follow | 3.9 | (10.2k) | Chemicals | Mumbai +575 other locations | Highly Rated For | Salary, Skill Development, Job Security | Critically Rated For | Promotions | To view salary insights | Select designation | 10.2k | Reviews | 26.9k | Salaries | 921 | Interviews | 94 | Jobs | 950 | Benefits | 37 | Photos"
Maruti Suzuki,"Maruti Suzuki | Follow | 4.1 | (10k) | Automobile | Gurugram +473 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Salary, Company Culture | To view salary insights | Select designation | 10k | Reviews | 29.7k | Salaries | 846 | Interviews | 693 | Jobs | 1k | Benefits | 32 | Photos"
Startek,"Startek | Follow | 3.0 | (10.1k) | BPO | Bengaluru +109 other locations | Critically Rated For | Promotions, Company Culture, Work Satisfaction | To view salary insights | Select designation | 10.1k | Reviews | 25.1k | Salaries | 694 | Interviews | 277 | Jobs | 723 | Benefits | 16 | Photos"
Bajaj Finance,"Bajaj Finance | Follow | 3.9 | (9.9k) | NBFC | Pune +1043 other locations | Highly Rated For | Salary, Skill Development, Job Security | To view salary insights | Select designation | 9.9k | Reviews | 24k | Salaries | 474 | Interviews | 8k | Jobs | 548 | Benefits | 20 | Photos"
Paytm,"Paytm | Follow | 3.2 | (9.8k) | FinTech | Noida +445 other locations | Critically Rated For | Job Security, Company Culture, Promotions | To view salary insights | Select designation | 9.8k | Reviews | 35.1k | Salaries | 937 | Interviews | 1.1k | Jobs | 585 | Benefits | 26 | Photos"
Sutherland Global Services,"Sutherland Global Services | Follow | 3.3 | (9.7k) | BPO | Chennai +90 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 9.7k | Reviews | 37.2k | Salaries | 846 | Interviews | 454 | Jobs | 953 | Benefits | 35 | Photos"
Shriram Finance,"Shriram Finance | Follow | 3.9 | (9.6k) | NBFC | Chennai +1150 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Work Life Balance | Critically Rated For | Promotions, Salary | To view salary insights | Select designation | 9.6k | Reviews | 16.1k | Salaries | 488 | Interviews | 5 | Jobs | 97 | Benefits | 54 | Photos"
Equitas Small Finance Bank,"Equitas Small Finance Bank | Follow | 4.3 | (9.4k) | Banking | Chennai +491 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Company Culture, Work Life Balance, Job Security | To view salary insights | Select designation | 9.4k | Reviews | 14.2k | Salaries | 1k | Interviews | 67 | Jobs | 473 | Benefits | 44 | Photos"
Coforge,"Coforge | Follow | 3.3 | (9.5k) | IT Services & Consulting | Hyderabad +117 other locations | Critically Rated For | Promotions, Work Satisfaction, Job Security | To view salary insights | Select designation | 9.5k | Reviews | 69.4k | Salaries | 1k | Interviews | 333 | Jobs | 457 | Benefits | 106 | Photos"
Wells Fargo,"Wells Fargo | Follow | 3.5 | (9.3k) | Financial Services | Bengaluru +32 other locations | Critically Rated For | Promotions, Skill Development, Work Satisfaction | To view salary insights | Select designation | 9.3k | Reviews | 67.3k | Salaries | 722 | Interviews | 190 | Jobs | 918 | Benefits | 15 | Photos"
Cipla,"Cipla | Follow | 4.1 | (9.1k) | Pharma | Mumbai +304 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Salary, Work Life Balance, Skill Development | To view salary insights | Select designation | 9.1k | Reviews | 26.9k | Salaries | 635 | Interviews | 39 | Jobs | 906 | Benefits | 24 | Photos"
EXL Service,"EXL Service | Follow | 3.6 | (9k) | Analytics & KPO | Noida +64 other locations | Highly Rated For | Job Security | Critically Rated For | Promotions, Salary, Skill Development | To view salary insights | Select designation | 9k | Reviews | 45.4k | Salaries | 955 | Interviews | 136 | Jobs | 839 | Benefits | 20 | Photos"
Ericsson,"Ericsson | Follow | 3.9 | (8.7k) | Telecom | Noida +170 other locations | Highly Rated For | Work Life Balance, Company Culture | Critically Rated For | Promotions, Salary | To view salary insights | Select designation | 8.7k | Reviews | 42.6k | Salaries | 485 | Interviews | 20 | Jobs | 1k | Benefits | 18 | Photos"
Samsung,"Samsung | Follow | 3.9 | (8.6k) | Consumer Electronics & Appliances | Noida +596 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Work Life Balance, Salary | Critically Rated For | Promotions | To view salary insights | Select designation | 8.6k | Reviews | 26.7k | Salaries | 649 | Interviews | 59 | Jobs | 557 | Benefits | 17 | Photos"
Dr. Reddy's,"Dr. Reddy's | Follow | 4.0 | (8.6k) | Pharma | Hyderabad +222 other locations | Highly Rated For | Company Culture, Skill Development, Salary | Critically Rated For | Promotions, Job Security | To view salary insights | Select designation | 8.6k | Reviews | 26.4k | Salaries | 552 | Interviews | 60 | Jobs | 775 | Benefits | 30 | Photos"
JSW Steel,"JSW Steel | Follow | 3.9 | (8.5k) | Iron & Steel | Ballari +207 other locations | Highly Rated For | Job Security, Skill Development | Critically Rated For | Promotions | To view salary insights | Select designation | 8.5k | Reviews | 32.7k | Salaries | 901 | Interviews | 151 | Jobs | 659 | Benefits | 34 | Photos"
Optum Global Solutions,"Optum Global Solutions | Follow | 4.0 | (8.4k) | IT Services & Consulting | Hyderabad +71 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Job Security, Work Life Balance, Company Culture | Critically Rated For | Promotions | To view salary insights | Select designation | 8.4k | Reviews | 53.3k | Salaries | 806 | Interviews | 348 | Jobs | 741 | Benefits | 9 | Photos"
Delhivery,Delhivery | Follow | 3.7 | (8.3k) | Logistics | Gurugram +795 other locations | Critically Rated For | Promotions | To view salary insights | Select designation | 8.3k | Reviews | 23.2k | Salaries | 651 | Interviews | 369 | Jobs | 665 | Benefits | 81 | Photos
Hexaware Technologies,"Hexaware Technologies | Follow | 3.4 | (8.2k) | IT Services & Consulting | Chennai +73 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 8.2k | Reviews | 57.1k | Salaries | 868 | Interviews | 1.6k | Jobs | 599 | Benefits | 30 | Photos"
JPMorgan Chase & Co.,JPMorgan Chase & Co. | Follow | 3.8 | (8.2k) | Financial Services | Bengaluru +67 other locations | Highly Rated For | Job Security | Critically Rated For | Promotions | To view salary insights | Select designation | 8.2k | Reviews | 94.1k | Salaries | 908 | Interviews | 350 | Jobs | 897 | Benefits | 14 | Photos
ICICI Prudential Life Insurance,"ICICI Prudential Life Insurance | Follow | 3.9 | (8.2k) | Insurance | Mumbai +522 other locations | Highly Rated For | Job Security, Salary, Skill Development | To view salary insights | Select designation | 8.2k | Reviews | 23.1k | Salaries | 504 | Interviews | 18 | Jobs | 642 | Benefits | 16 | Photos"
Ujjivan Small Finance Bank,"Ujjivan Small Finance Bank | Follow | 4.0 | (8.1k) | Banking | Bengaluru +569 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Company Culture, Work Life Balance, Skill Development | To view salary insights | Select designation | 8.1k | Reviews | 13.3k | Salaries | 349 | Interviews | 193 | Jobs | 603 | Benefits | 27 | Photos"
Jana Small Finance Bank,"Jana Small Finance Bank | Follow | 3.7 | (8.1k) | Banking | Bengaluru +441 other locations | Highly Rated For | Salary | Critically Rated For | Company Culture, Work Satisfaction, Promotions | To view salary insights | Select designation | 8.1k | Reviews | 14.2k | Salaries | 325 | Interviews | 138 | Jobs | 621 | Benefits | 19 | Photos"
Ekart Logistics,Ekart Logistics | Follow | 3.9 | (8.1k) | Logistics | Bengaluru +764 other locations | Highly Rated For | Skill Development | Critically Rated For | Promotions | To view salary insights | Select designation | 8.1k | Reviews | 18k | Salaries | 430 | Interviews | -- | Jobs | 440 | Benefits | 95 | Photos
Zydus Lifesciences,"Zydus Lifesciences | Follow | 4.0 | (8k) | Pharma | Ahmedabad +190 other locations | Highly Rated For | Salary, Skill Development, Company Culture | To view salary insights | Select designation | 8k | Reviews | 20.7k | Salaries | 598 | Interviews | 30 | Jobs | 724 | Benefits | 21 | Photos"
Sun Pharmaceutical Industries,"Sun Pharmaceutical Industries | Follow | 4.0 | (8k) | Pharma | Vadodara +269 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Salary, Skill Development, Job Security | To view salary insights | Select designation | 8k | Reviews | 24.1k | Salaries | 730 | Interviews | 311 | Jobs | 645 | Benefits | 8 | Photos"
KPMG India,"KPMG India | Follow | 3.4 | (7.9k) | Management Consulting | Bengaluru +124 other locations | Critically Rated For | Promotions, Work Life Balance, Work Satisfaction | To view salary insights | Select designation | 7.9k | Reviews | 72k | Salaries | 975 | Interviews | 68 | Jobs | 789 | Benefits | 10 | Photos"
HGS,"HGS | Follow | 3.7 | (7.8k) | Emerging Technologies | Bengaluru +125 other locations | Critically Rated For | Promotions, Salary | To view salary insights | Select designation | 7.8k | Reviews | 20.1k | Salaries | 281 | Interviews | 42 | Jobs | 970 | Benefits | 32 | Photos"
Axis Max Life Insurance,"Axis Max Life Insurance | Follow | 4.0 | (7.7k) | Insurance | New Delhi +533 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Company Culture, Work Life Balance, Job Security | To view salary insights | Select designation | 7.7k | Reviews | 20.9k | Salaries | 447 | Interviews | 2.5k | Jobs | 564 | Benefits | 22 | Photos"
Lupin,"Lupin | Follow | 4.1 | (7.7k) | Pharma | Pune +210 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Company Culture, Skill Development, Work Life Balance | Critically Rated For | Promotions | To view salary insights | Select designation | 7.7k | Reviews | 22.9k | Salaries | 466 | Interviews | 76 | Jobs | 797 | Benefits | 11 | Photos"
Amazon Development Centre India,"Amazon Development Centre India | Follow | 3.8 | (7.6k) | Internet | Hyderabad +148 other locations | Highly Rated For | Company Culture, Work Life Balance | Critically Rated For | Promotions, Job Security, Skill Development | To view salary insights | Select designation | 7.6k | Reviews | 39.5k | Salaries | 919 | Interviews | 23 | Jobs | 612 | Benefits | 13 | Photos"
ITC,"ITC | Follow | 3.8 | (7.6k) | FMCG | Bengaluru +395 other locations | Highly Rated For | Job Security, Skill Development | Critically Rated For | Promotions | To view salary insights | Select designation | 7.6k | Reviews | 25.7k | Salaries | 733 | Interviews | 37 | Jobs | 665 | Benefits | 19 | Photos"
Hindustan Unilever,"Hindustan Unilever | Follow | 4.1 | (7.5k) | FMCG | Mumbai +560 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Skill Development, Company Culture, Job Security | Critically Rated For | Promotions | To view salary insights | Select designation | 7.5k | Reviews | 21.1k | Salaries | 493 | Interviews | 29 | Jobs | 719 | Benefits | 6 | Photos"
L&T Construction,"L&T Construction | Follow | 4.0 | (7.5k) | Engineering & Construction | Chennai +442 other locations | Highly Rated For | Job Security, Skill Development, Salary | Critically Rated For | Work Life Balance, Promotions | To view salary insights | Select designation | 7.5k | Reviews | 19.4k | Salaries | 966 | Interviews | -- | Jobs | 928 | Benefits | 42 | Photos"
Megha Engineering & Infrastructures,"Megha Engineering & Infrastructures | Follow | 3.9 | (7.4k) | Engineering & Construction | Hyderabad +424 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Work Life Balance, Job Security | Critically Rated For | Promotions | To view salary insights | Select designation | 7.4k | Reviews | 19.6k | Salaries | 614 | Interviews | 22 | Jobs | 573 | Benefits | 39 | Photos"
Cholamandalam Investment & Finance,Cholamandalam Investment & Finance | Follow | 3.9 | (7.2k) | Financial Services | Chennai +897 other locations | Highly Rated For | Salary | Critically Rated For | Promotions | To view salary insights | Select designation | 7.2k | Reviews | 13.3k | Salaries | 316 | Interviews | 104 | Jobs | 328 | Benefits | 43 | Photos
Tata Projects,"Tata Projects | Follow | 4.2 | (7.3k) | Engineering & Construction | Mumbai +293 other locations | AmbitionBox Award Winner'26 | Highly Rated For | Salary, Company Culture, Work Life Balance | To view salary insights | Select designation | 7.3k | Reviews | 23k | Salaries | 657 | Interviews | 62 | Jobs | 602 | Benefits | 64 | Photos"
Bajaj Life Insurance,Bajaj Life Insurance | Follow | 3.8 | (7.1k) | Insurance | Pune +635 other locations | Highly Rated For | Salary | To view salary insights | Select designation | 7.1k | Reviews | 18k | Salaries | 468 | Interviews | 98 | Jobs | 514 | Benefits | 18 | Photos
L&T Technology Services,"L&T Technology Services | Follow | 3.1 | (7.1k) | IT Services & Consulting | Bengaluru +101 other locations | Critically Rated For | Promotions, Salary, Work Satisfaction | To view salary insights | Select designation | 7.1k | Reviews | 46.1k | Salaries | 665 | Interviews | 1 | Jobs | 525 | Benefits | 11 | Photos"
